Spelling; nchar; LogFreq_Zipf; DomPoS
watercolourist; 14; 2; noun
aeons; 5; 2; noun
armourers; 9; 2; noun
baptising; 9; 2; verb
crueller; 8; 2; noun
crystallisation; 15; 2; noun
daffs; 5; 2; noun
draughtsmanship; 15; 2; noun
fraternise; 10; 2; noun
gaoler; 6; 2; noun
immobiliser; 11; 2; noun
jeopardises; 11; 2; verb
mesmerise; 9; 2; verb
modernisers; 11; 2; noun
moisturisers; 12; 2; noun
neutraliser; 11; 2; noun
oesophageal; 11; 2; adjective
polarises; 9; 2; verb
pulverising; 11; 2; verb
savouries; 9; 2; noun
standardise; 11; 2; verb
subsidises; 10; 2; verb
summarising; 11; 2; verb
titbit; 6; 2; noun
towelling; 9; 2; verb
traumatise; 10; 2; verb
acclimatising; 13; 1.97; verb
demoralise; 10; 1.97; verb
dosser; 6; 1.97; noun
foetuses; 8; 1.97; noun
hypoglycaemia; 13; 1.97; noun
idealise; 8; 1.97; verb
immobilising; 12; 1.97; verb
ionised; 7; 1.97; verb
localise; 8; 1.97; verb
monetise; 8; 1.97; verb
nanometres; 10; 1.97; noun
oestrus; 7; 1.97; noun
oxidisation; 11; 1.97; noun
recapitalised; 13; 1.97; verb
romanticising; 13; 1.97; verb
rubberised; 10; 1.97; verb
scrutinises; 11; 1.97; verb
sympathises; 11; 1.97; verb
synthesise; 10; 1.97; verb
tantalised; 10; 1.97; verb
tearaways; 9; 1.97; noun
vulcanisation; 13; 1.97; noun
gobsmack; 8; 1.95; name
payslips; 8; 1.95; noun
anaesthetising; 14; 1.95; verb
antagonising; 12; 1.95; verb
carcases; 8; 1.95; noun
cauterise; 9; 1.95; verb
cognisant; 9; 1.95; noun
compartmentalised; 17; 1.95; verb
dehumanising; 12; 1.95; verb
demob; 5; 1.95; noun
disembowelled; 13; 1.95; verb
doubler; 7; 1.95; name
empathised; 10; 1.95; verb
fertilises; 10; 1.95; verb
garrotte; 8; 1.95; noun
gravelled; 9; 1.95; verb
gynaecologists; 14; 1.95; noun
marginalising; 13; 1.95; verb
materialising; 13; 1.95; verb
quietens; 8; 1.95; verb
scuppering; 10; 1.95; verb
secularisation; 14; 1.95; noun
stockists; 9; 1.95; noun
trivialising; 12; 1.95; verb
unfavourably; 12; 1.95; adverb
unliveable; 10; 1.95; adjective
vaporises; 9; 1.95; verb
fireback; 8; 1.93; noun
despatches; 10; 1.93; noun
destabilisation; 15; 1.93; noun
fraternisation; 14; 1.93; noun
fruiterers; 10; 1.93; noun
gambolling; 10; 1.93; noun
haemophiliacs; 13; 1.93; noun
hotties; 7; 1.93; noun
humanised; 9; 1.93; verb
hypoglycaemic; 13; 1.93; adjective
immunisations; 13; 1.93; noun
individualised; 14; 1.93; adjective
internalised; 12; 1.93; verb
ionisation; 10; 1.93; noun
libelled; 8; 1.93; verb
naturalisation; 14; 1.93; noun
neutralisation; 14; 1.93; noun
philosophising; 14; 1.93; verb
plagiarised; 11; 1.93; verb
renationalise; 13; 1.93; verb
sensitised; 10; 1.93; verb
vocalisations; 13; 1.93; noun
analyser; 8; 1.9; noun
bumph; 5; 1.9; noun
cannibalised; 12; 1.9; verb
catalyse; 8; 1.9; verb
civilise; 8; 1.9; verb
demobilised; 11; 1.9; verb
demoralisation; 14; 1.9; noun
deputising; 10; 1.9; verb
dishonouring; 12; 1.9; verb
empathising; 11; 1.9; verb
farrowing; 9; 1.9; verb
feminised; 9; 1.9; adjective
harmonised; 10; 1.9; verb
jemmy; 5; 1.9; name
plonking; 8; 1.9; verb
prioritises; 11; 1.9; verb
