Title	Type	Year	Author	Country	Budget	Box	Duration	Producer
Descendents (Solos)	Film	2008	Jorge Olguin	Argentina				
Plaga Zombie: Zona Mutante	Film	2001	Pablo Pares/Hernan Saez	Argentina				
Vengeance of the Zombies/La rebelión de las muertas	Film	1973	León Klimovsky	Argentina				
Eating Steve: A Love Story	Comic	2007	J. Marc Schmidt	Australia				
Plague	Film	2015	Nick Kozakis/Kosta Ouzas	Australia				
Wyrmwood: Road of the Dead	Film	2014	Kiah Roache-Turner	Australia		106916		
Cargo	Film	2017	Ben Howling/Yolanda Ramke	Australia		56385	105	Addictive Pictures/Causeway Films/Head Gear Films
The Crypt	Film	2009	Craig McMahon	Australia				
Make-out with Violence	Film	2008	Deagol Brothers	Australia				
Undead Ted	Film	2007	Daniel Knight	Australia				
Undead	Film	2003	The Spierig Brothers/Peter Spierig/Michael Spierig	Australia	750000	229250	104	
The Awakening	Novel	2012	Brett McBean	Australia				
Zombi Child	Film	2019	Bertrand Bonello	France		174508	103	My New Pictures/Les Films du Bal
Little Monsters	Film	2019	Abe Forsyth	Australia		15949	94	Screen Australia
Attack of the Lederhosen Zombies	Film	2017	Dominik Hartl	Austria			78	
Rammbock	Film	2010	Marvin Kren	Germany		12699	64	 Zweites Deutsches Fernsehen/Das Kleine Fernsehspiel/Moneypenny Filmproduktion GmbH
Voodoo Island	Film	1957	Reginald LeBorg	Austria				
Dead Sands	Film	2013	Ameera Al Qaed	Bahrain				
A Capital dos Mortos 2: Mundo Morto	Film	2015	Tiago Belotti	Brazil				
Zombies Calling	Comic	2007	Faith Erin Hicks	Canada				
Les Affamés/Ravenous	Film	2017	Robin Aubert	Canada	3700000	820361	104	
A Little Bit Zombie	Film	2012	Casey Walker	Canada				
Dead Before Dawn	Film	2012	April Mullen	Canada				
Sick: Survive the Night	Film	2012	Ryan M. Andrews	Canada				
Dylan Dog: Dead of Night	Film	2011	Kevin Munroe	Canada	2e+07	6093725		
Exit Humanity	Film	2011	John Geddes	Canada				
The Day	Film	2011	Douglas Aarniokoski	Canada		20984	87	
L.A. Zombie (Gay of the Dead)	Film	2010	Bruce LaBruce	Canada				
Autumn	Film	2009	Steven Rumbelow	Canada				
They Shall Pay with Rivers of Blood	Film	2009	Buck Anderson	Canada				
Sella Turcica	Film	2010	Fred Vogel	United States	20000		106	
Primal	Film	2010	Josh Reed	Australia			80	Primal Films/AV Pictures/Known Associates
Deep River: The Island	Film	2008	Ben Bachelder	Canada				
Reel Zombies	Film	2008	David J. Francis	Canada			89	 Last Call Productions/Primal Films Inc.
Trailer Park of Terror	Film	2008	Steven Goldmann	Canada				
Otto/Or, Up with Dead People	Film	2008	Bruce LaBruce	Canada		11295	95	
Black Swarm (Night of the Drones)	Film	2007	David Winning	Canada				
The Mad	Film	2007	John Kalangis	Canada				
Fido	Film	2006	Andrew Currie	Canada	8e+06	426224	99	 Lions Gate Films/Anagram Pictures/Astral Media
Zombie Night 2: Awakening	Film	2006	David J. Francis	Canada	76123		90	Last Call Productions/Primal Films Inc.
Severed: Forest of the Dead	Film	2005	Carl Bessai	Canada			93	Chum Television/Brightlight Pictures/Submission Films
Graveyard Alive: A Zombie Nurse in Love	Film	2004	Elza Kephart	Canada				
Vampires vs. Zombies/Carmilla the Lesbian Vampire	Film	2004	Vince D'Amato	Canada				
Zombie King and the Legion of Doom (Zombie Beach Party, Enter … Zombie King)	Film	2004	Stacey Case	Canada				
Exhumed	Film	2003	Brian Clement	Canada				
Zombie Night	Film	2003	David J. Francis	Canada	53286.1		93	Primal Films Inc
Meat Market 2	Film	2001	Brian Clement	Canada				
Meat Market	Film	2000	Brian Clement	Canada				
Night Life	Film	1989	David Acomba	Canada				
Zombie Nightmare	Film	1986	Jack Bravman	Canada				
Doctor Blood's Coffin	Film	1961	Sidney J. Furie	Canada				
George A. Romero Presents: Road of the Dead	Film		Matt Birman	UK				
Husk	Novel	2012	Corey Redekop	Canada				
Rise	Novel	2010	Gareth Wood	Canada				
Thomas J. Churchill's - M	Film		Thomas J. Churchill	USA				 Church Hill Productions/Apothecary Entertainment
Pontypool Changes Everything	Novel	1998	Tony Burguess	Canada				
Zombie Dawn	Film	2012	Lucio A. Rojas/Christian Toledo	Chile	22000		83	
Zombie Outbreak Caused by Synthetic Cannabinoid	Academic	2017	Feng-Shuo Yang/Chao-Ju Chen/Yi-Ching Lin	China				
Zombie Outbreak	Film	2006	Sarah N. Stennett	United States			82	Princess Lilith Productions
Fast Zombies with Guns	Film	2009	Bennie Woodell	United States	7000		87	Jiang Hu Productions
Bio-Zombie/Sun faa sau si	Film	1998	Wilson Yip	Hong Kong		791310567.6	94	 Brilliant Idea Group/Cameron Entertainment Ltd.
The Rape After	Film	1986	Ho Meng Hua/Moon-Tong Lau	China				
Kung Fu Zombie/Wu long tian shi zhao ji gui	Film	1981	Hwa I Hung	China				
Black Magic 2	Film	1976	Ho Meng Hua	China				
Route 666	Film	2001	William Wesley	Cuba				
Choking Hazard	Film	2004	Marek Dobes	Czech Republic				
What We Become	Film	2015	Bo Mikkelsen	Denmark		107818		
Dawn of the Mummy	Film	1981	Frank Agrama	Egypt				
War of the Dead (Stone's War)	Film	2011	Marko Makilaakso	Finland				
Dark Floors	Film	2009	Pete Riski	Finland				
Social death, melancholia, and zombies: Same patterns?	Academic	2017	Philippe Charlier/Saudamini Deo/J. Hassin/Christian Herve	France				
“In your head, zombie”: zombies, predation and memory	Academic	2019	Patrick Bonin/Gaëtan Thiebaut/Pavol Prokop/Alain Méot	France				
Alice Matheson #1	Comic	2016	Jean-Luc Istin/Philippe Vandaele	France				Soleil
Alice Matheson #2.1	Comic	2016	Jean-Luc Istin/Philippe Vandaele	France				Soleil
Alice Matheson #2.2	Comic	2016	Jean-Luc Istin/Philippe Vandaele	France				Soleil
